Name,Date,Type,Duration,ingo,l33tname,madmas,makefu,pfleidi,marc
Binärgewitter Talk #308: Chapter-Markus,20.12.2022,Talk,02:41:27,0,1,1,1,0,0
Binärgewitter Talk #307: Power-User im Festnetz,3.12.2022,Talk,02:56:13,1,1,1,1,0,0
Binärgewitter Talk #306: Monopolist auf Zeit,18.11.2022,Talk,02:26:41,1,1,1,1,0,0
Binärgewitter Talk #305: Python 3.11 for Workgroups,8.11.2022,Talk,01:58:29,1,1,0,1,0,0
Binärgewitter Talk #304: Prepper Junior,29.10.2022,Talk,02:17:36,1,0,1,1,0,0
Binärgewitter Talk #303: Pyrolyse im Geschirrspüler,4.10.2022,Talk,02:54:25,1,1,0,1,0,0
Binärgewitter Talk #302: irgendwas mit https,14.9.2022,Talk,01:46:42,1,1,1,1,0,0
Binärgewitter Talk #301: Monte klingt wie so ein Joghurt,30.8.2022,Talk,02:12:16,1,1,1,1,0,0
Binärgewitter Talk #300: Minipodcast von deinen Freunden,4.8.2022,Talk,02:49:52,1,1,1,1,0,0
Binärgewitter Talk #299: HyperWie,13.7.2022,Talk,01:56:26,1,1,0,1,0,0
Binärgewitter Talk #298: Hitzefrei für DSLAMs,6.7.2022,Talk,01:41:49,1,0,1,1,0,0
Binärgewitter Talk #297: Internet Inflation,14.6.2022,Talk,01:53:55,1,0,1,1,0,0
Binärgewitter Talk #296: Scientifically Restarted,27.5.2022,Talk,04:09:18,1,1,1,1,0,0
Binärgewitter Talk #295: Shit talking on the Internet - Masterclass,17.5.2022,Talk,02:23:26,1,1,0,1,0,0
Binärgewitter Talk #294: Unsupported Optional Feature 400,20.4.2022,Talk,01:46:20,1,1,0,1,0,0
Binärgewitter Talk #293: ich schau ab und zu was auf sourceforge läuft,29.3.2022,Talk,02:07:44,1,1,1,1,0,0
Binärgewitter Talk #292: USB Autobatterie,7.3.2022,Talk,02:58:58,1,1,1,1,0,0
Binärgewitter Talk #291: Internet-Romantik,22.2.2022,Talk,03:07:40,1,1,1,1,0,0
Binärgewitter Talk #290: In einem Code vor unserer Zeit,8.2.2022,Talk,02:33:47,1,1,0,1,0,0
Binärgewitter Talk #289: Razzia im Chatraum,15.1.2022,Talk,03:00:29,1,1,1,1,0,0
