Name,Date,Type,Duration,ingo,l33tname,madmas,makefu,pfleidi,marc
Binärgewitter Talk #288: Binärgewitter Plus,30.12.2021,Talk,02:45:47,1,1,1,1,0,0
Binärgewitter Talk #287: Ctrl Picks,7.12.2021,Talk,01:57:07,1,1,1,1,0,0
Binärgewitter Talk #286: Jetzt die Zeit von Portugal!,12.11.2021,Talk,02:16:12,1,1,0,1,0,0
Binärgewitter Talk #285: Unnormalzeit,8.10.2021,Talk,01:47:48,1,1,0,1,0,0
Binärgewitter Talk #284: Jahr der Linux Viren auf dem Desktop,21.9.2021,Talk,02:02:41,1,1,0,1,0,0
Binärgewitter Talk #283: das Python des kleinen Mannes,4.9.2021,Talk,01:43:57,1,1,0,1,0,0
Binärgewitter Talk #282: warten auf IPv8,20.8.2021,Talk,01:29:32,1,1,1,0,0,0
Binärgewitter Talk #281: Bio Zombie Würmer,29.7.2021,Talk,01:55:01,1,0,1,1,0,0
Binärgewitter Talk #280: Reproduzierbare Builds gegen den Klimawandel,8.7.2021,Talk,02:18:45,1,1,0,1,0,0
Binärgewitter Talk #279: Uber55,23.6.2021,Talk,02:43:46,1,1,0,1,0,0
Binärgewitter Talk #278: Where in the World is John Mcafee,8.6.2021,Talk,01:49:09,1,0,1,1,0,0
Binärgewitter Talk #277: Coolbernetes,14.5.2021,Talk,02:25:06,1,1,0,1,0,0
Binärgewitter Talk #276: We are scared and excited,5.5.2021,Talk,02:56:08,1,1,1,1,0,0
Binärgewitter Talk #275: Das C von Cobol steht für Cloud,18.4.2021,Talk,02:24:47,1,1,0,1,0,0
"Binärgewitter Talk #274: Fortran, nein Danke!",23.3.2021,Talk,02:49:00,1,1,1,1,0,0
Binärgewitter Talk #273: Wenn der Schaffner dein Passwort zurücksetzt,10.3.2021,Talk,02:28:31,1,1,1,1,0,0
Binärgewitter Talk #272: Excel ist ein BWL Simulator,23.2.2021,Talk,02:43:48,1,1,0,1,0,0
Binärgewitter Talk #271: Sichter und Denker,17.2.2021,Talk,02:17:45,1,1,1,1,0,0
Binärgewitter Talk #270: Bubble find,30.1.2021,Talk,03:31:54,1,1,1,1,0,0
"Binärgewitter Talk #269: Java Stadt, Land, Fluss",19.1.2021,Talk,02:53:20,1,1,1,1,0,0
Binärgewitter Talk #268: Marie Kondo für Daten,9.1.2021,Talk,02:29:55,1,1,1,1,0,0
