Name,Date,Type,ingo,l33tname,madmas,makefu,pfleidi,marc
Binärgewitter Talk #266: Glasgow C Compiler,15.12.2020,Talk,1,1,1,1,0,0
Binärgewitter Westcoast #7: Ethernet Loch,04.12.2020,Westcoast,0,0,0,0,1,1
Binärgewitter Talk #265: Update Junky,05.11.2020,Talk,1,1,1,0,0,0
Binärgewitter Westcoast #6: Kleinstkontrolleur,29.10.2020,Westcoast,0,0,0,0,1,1
Binärgewitter Talk #264: das Python2 von PHP,29.10.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #263: Gewalt gegenüber Dronen,13.10.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #262: Teilzeitverschlüsselt,22.09.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #261: Ein Rentner auf Drogen,02.09.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #260: Der Illuminaten Kernel,11.08.2020,Talk,1,1,0,1,0,0
"Binärgewitter Talk #259: SNMP, Nein Danke!",21.07.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #258: Linus auf dem Desktop,07.07.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #257: Wir sind auch zu script kiddies geworden,10.06.2020,Talk,1,1,0,0,0,0
Binärgewitter Talk #256: 5G Tauben upgraden,22.05.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #255: Briten sind verrückte Holländer?,16.05.2020,Talk,1,1,1,1,0,0
Binärgewitter Talk #254: Ich lade rechts!,07.05.2020,Talk,1,1,1,1,0,0
Binärgewitter Talk #253: Ab dem QR Code hört mein Gehirn auf zu funktionieren,02.05.2020,Talk,1,0,1,1,0,0
"Binärgewitter Talk #252: Kannste so sagen, ist dann aber falsch",18.04.2020,Talk,1,1,1,0,0,0
Binärgewitter Talk #251: Lasst eure Geräte nicht aus dem Haus,04.04.2020,Talk,1,1,1,1,0,0
Binärgewitter Talk #250: Was machst du anderes als HTML und PDF?,27.03.2020,Talk,1,0,1,1,0,0
Binärgewitter Talk #249: Im home office hört dich niemand weinen,19.03.2020,Talk,1,0,1,1,0,0
Binärgewitter Talk #248: Das USB-C Kabel drehen müssen,28.02.2020,Talk,1,0,1,1,0,0
Binärgewitter Talk #247: Mittelklasse Distro,06.02.2020,Talk,1,1,0,1,0,0
Binärgewitter Talk #246: Geld abköpfen,17.01.2020,Talk,1,0,1,1,0,0
